schoolname,scope,collegeID,yr_closed,yr_approved,yr_submit,yr_canceled,days_between,years_between,alt,construct,reconstruct,repair,relocate,edu_building,career_tech,community1,community2,gen_facilities,admin,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,scaled_cost,genenrollment,spend_student,career_techstudent,edu_buildingstudent,gen_facilitiesstudent,adminstudent,altstudent,constructstudent,reconstructstudent,repairstudent,relocatestudent
CUYAMACA COLLEGE,CONSTRUCTION OF 3-CLASSROOM BUILDINGS [RELOCATABLE] PC-304,21,2014,1999,1999,,5354,14.658766,0,1,0,0,0,1,0,0,0,0,0,203938.38,333005.88,,,333005.88,0.33300588,10716,31.075577,0,31.075577,0,0,0,31.075577,0,0,0
CUYAMACA COLLEGE,CONSTRUCTION OF ALTERATIONS TO:  COMPLETE CAMPUS SITE FIRE ALARM UPGRADEADDITIONS TO:  COMPLETE CAMPUS SITE,21,2006,2000,1999,,2093,5.730444,0,0,0,1,0,0,0,0,0,1,0,487167.66,160069.38,56914.25,,216983.63,0.21698363,15851,13.688955,0,0,13.688955,0,0,0,0,13.688955,0
CUYAMACA COLLEGE,CONSTRUCTION OF CONSTRUCTION OF: CHILD DEVELOPMENT BLDG; SITEWORK,21,2007,2000,1999,,2508,6.8666763,0,1,0,0,0,0,1,0,0,1,0,3584162,3488259.5,392425.91,,3880685.5,3.8806856,15851,244.82275,244.82275,0,244.82275,0,0,244.82275,0,0,0
CUYAMACA COLLEGE,CONSTRUCTION OF (3) ANNEXES TO N. END BLDG (P):AN ENTRY STRUCTURE A COMPONENT LAB A STORAGE ROOM.  (1) SHADE STRUCTURE AT BLDG P. (1) AUTOMOBILE MAINTENANCE STRUCTURE AT BLDG P. ALTERATION TO AUTO MECHANIC BLDG. (P) ADDITIONS TO ADDITION TO AUTO MECHANIC BLDG (P) @ SW END.,21,2010,2004,2003,,2275,6.2287436,0,0,0,1,0,1,0,0,0,1,0,2825679.8,3527476.5,352793.25,,3880269.8,3.8802698,18544,209.24664,0,209.24664,209.24664,0,0,0,0,209.24664,0
CUYAMACA COLLEGE,ALTERATIONS TO:ONE C.R. BLDG (B),21,2007,2004,2001,,974,2.6667237,1,0,0,0,0,1,0,0,0,0,0,265035.53,454469.69,142432.75,,596902.44,0.59690243,18544,32.188442,0,32.188442,0,0,32.188442,0,0,0,0
CUYAMACA COLLEGE,CONSTRUCTION OF 1-THEATER BLDG (A) 1-REHERSHAL/MUSIC BLDG (A) 1-LABS BLDG(B) RETAINING WALLS,21,2009,2005,2004,,1476,4.0411539,0,1,0,0,0,1,0,0,1,1,0,25350452,42500400,1217315.6,,43717716,43.717716,18130,2411.3467,0,2411.3467,2411.3467,0,0,2411.3467,0,0,0
CUYAMACA COLLEGE,CONSTRUCTION OF 1 - C.R. BLDG/S (SCIENCE & TECHNOLOGY MALL),21,2013,2005,2004,,3082,8.4382362,0,1,0,0,0,1,1,0,0,0,0,16555986,21622258,823816.69,22446076,22446076,22.446075,18130,1238.0626,1238.0626,1238.0626,0,0,0,1238.0626,0,0,0
CUYAMACA COMMUNITY COLLEGE DISTRICT,CONSTRUCTION OF 2-CLASSROOM/ADMIN BUILDINGS,21,2012,2008,2007,,1442,3.948065,0,1,0,0,0,1,0,0,0,0,1,20778474,21960836,137071.66,,22097908,22.097908,19859,1112.7402,0,1112.7402,0,1112.7402,0,1112.7402,0,0,0
CUYAMACA CENTRAL PLANT,ALTERATION TO 1-MECHANICAL BUILDING (A04-106565),21,2010,2008,2008,,732,2.0041497,1,0,0,0,0,0,0,0,0,0,0,731463.38,909075.56,-26003.84,,883071.75,0.88307172,19859,44.467079,0,0,0,0,44.467079,0,0,0,0
CUYAMACA COLLEGE,ADDITIONS TO 1-LEARNING RESOURCE CENTERCLASSROOM BUILDING; ALTERATIONS TO 1-LEARNING RESOURCE CENTER CLASSROOM BUILDING,21,2011,2009,2008,,731,2.0014117,0,0,0,1,0,1,0,1,0,0,0,2667431.3,2763666,-62257.844,,2701408.3,2.7014081,22433,120.42117,0,120.42117,0,0,0,0,0,120.42117,0
CUYAMACA COLLEGE,ALTERATION TO 5 - CR BUILDINGS A B D E G (04-103263 39633) 1 - SCIENCE BLDG H (04-106244) 1 - ADMIN. BLDG F (39633)  2 - MAINTENANCE BLDG M & C (39633) 1 - MECH BLDG,21,2011,2009,2007,,807,2.2094927,1,0,0,0,0,1,0,0,0,0,1,244054.22,257409.22,3476.1343,,260885.36,0.26088536,22433,11.629535,0,11.629535,0,11.629535,11.629535,0,0,0,0
CUYAMACA COMMUNITY COLLEGE,RELOCATION OF 1-24'X60' RELO. FACILITIES BLDG. (PC-304),21,2010,2009,2009,,270,0.73923552,0,0,0,0,1,0,0,0,0,0,0,91219.563,91219.563,,,91219.563,0.091219559,22433,4.0663114,0,0,0,0,0,0,0,0,4.0663114
CUYAMACA COLLEGE,ALTERATIONS TO 1-SCIENCE BLDG H (A#04-106244)- HVAC UPGRADE,21,2015,2013,2013,,506,1.3853821,1,0,0,0,0,1,0,0,0,1,0,81068.938,210446.86,2672.2349,213119.09,213119.09,0.21311909,12607,16.904821,0,16.904821,16.904821,0,16.904821,0,0,0,0
CUYAMACA COLLEGE,CONSTRUCTION OF 1-ELECTRICAL TRANSFORMER EQUIPMENT PAD WITH ENCLOSURE WITH EQUIPMENT ANCHORAGE AND ASSOCIATED SITE WORK.,21,,2015,2015,,,,0,1,0,0,0,0,0,0,0,1,0,327205.66,,,,327205.66,0.32720566,12676,25.813005,0,0,25.813005,0,0,25.813005,0,0,0
CUYAMACA COLLEGE HVAC UPGRADE PROJECT,ALTERATIONS TO 3-CLASSROOM BUILDINGS A100 A200 & A300 (A#04-101318) / HVAC UPGRADES,21,2016,2015,2015,,278,0.7611388,1,0,0,0,0,1,0,0,0,1,0,198947.48,187905.89,3005.1018,190911,190911,0.190911,12676,15.060823,0,15.060823,15.060823,0,15.060823,0,0,0,0
CUYAMACA COLLEGE,ALTERATIONS TO 1-GYMNASIUM BUILDING (A56446); CONSTRUCTION OF 1-36X40 WEIGHT ROOM BUILDING (RELOCATABLE)PC 04-113886,21,2015,2015,2015,,180,0.49282366,0,1,0,0,0,1,0,0,1,0,0,199608.36,164937.39,938.1593,165875.55,165875.55,0.16587555,12676,13.085795,0,13.085795,0,0,0,13.085795,0,0,0
GROSSMONT COMMUNITY COLLEGE,CONSTRUCTION OF: 1 CR BLDG [RELOCATABLE] (PC-266) AND SITEWORK,22,2007,1998,1998,,3216,8.8051167,0,1,0,0,0,1,0,0,0,1,0,200692.88,,,,200692.88,0.20069288,25318,7.9268851,0,7.9268851,7.9268851,0,0,7.9268851,0,0,0
GROSSMONT COLLEGE,CONSTRUCTION OF:  PORTION ONE: SITEWORK FOR CR BLDG(RELOC) PORTION TWO: ONE (48X40)CR BLDG(RELOC)(PC-266),22,2007,1999,1999,,3047,8.3424091,0,1,0,0,0,1,0,0,0,1,0,199718.03,214900.89,,,214900.89,0.2149009,26057,8.2473383,0,8.2473383,8.2473383,0,0,8.2473383,0,0,0
ONE-STOP STUDENT SERVICES CENTER / GROSSMONT-CUYAMACA COMM. COLL. DISTRICT,CONSTRUCTION OF:  ONE-STOP STUDENT SERVICES CENTER,22,2008,2000,1999,,3137,8.5888214,0,1,0,0,0,0,0,1,0,0,0,3467694.5,4953849.5,270657.09,,5224506.5,5.2245064,25899,201.72618,0,0,0,0,0,201.72618,0,0,0
GROSSMONT COLLEGE,CONSTRUCTION OF CONSTRUCTION OF:  MODIFICATIONS TO CHILDREN'S CENTERALTERATIONS TO:  MODIFICATIONS TO MODULAR CHILDREN'S CENTER,22,2011,2001,2000,,3568,9.7688599,0,1,0,0,0,0,1,0,0,0,0,93211.461,134476.78,62650.648,,197127.44,0.19712743,25549,7.7156615,7.7156615,0,0,0,0,7.7156615,0,0,0
GROSSMONT COLLEGE,CONSTRUCTION OF CONSTRUCTION OF:  LRC EXPANSION(LIBRARY)  ( NEW 2 STORY BUILDING PLUS BASEMENT)ALTERATIONS TO:  OLD LIB. BLDG. NORTHWEST WING  ( ATTAHCED TO NEW LRC )  - 2485 ASF OUT OF TOTAL 43351 GSF IN OLD BL RECONSTRUCTION OF DG.,22,2014,2001,2001,,4576,12.528673,0,0,1,0,0,0,0,1,0,0,0,16221898,17661700,1875189.8,19536890,19536890,19.53689,25549,764.68317,0,0,0,0,0,0,764.68317,0,0
GROSSMONT COLLEGE,CONSTRUCTION OF 1-CELL SITE MONOPOLE AND EQUIPMENT PAD,22,2012,2002,2001,,3576,9.7907639,0,1,0,0,0,0,0,0,0,1,0,71238.156,71238.156,,,71238.156,0.071238153,27865,2.556546,0,0,2.556546,0,0,2.556546,0,0,0
GROSSMONT COLLEGE LIB REMODEL/TECHNOLOGY MALL,ADDITIONS TO 1-LIBRARY BUILDING 700; ALTERATIONS TO 1-LIBRARY BUILDING 700,22,2014,2002,2001,,4388,12.013946,0,0,0,1,0,0,0,1,0,0,0,5736891.5,7286140.5,383445.44,7669586,7669586,7.6695862,27865,275.24084,0,0,0,0,0,0,0,275.24084,0
GROSSMONT COLLEGE,CONSTRUCTION OF SITE GRADING AND 1-SCIENCE BLDG,22,2010,2004,2004,,2027,5.5497422,0,1,0,0,0,1,0,0,0,1,0,12425199,19585544,609146.5,,20194690,20.194691,26956,749.17236,0,749.17236,749.17236,0,0,749.17236,0,0,0
GROSSMONT-CUYAMACA CCD,ALTERATION TO 1 - C.R. /SHOP BLDG/S (A#41336); 1 - GREENHOUSE BLDG (A#41336),22,2007,2004,2004,,1245,3.4086971,1,0,0,0,0,0,1,0,0,0,0,920477.19,656828.88,,,656828.88,0.65682888,26956,24.366705,24.366705,0,0,0,24.366705,0,0,0,0
GROSSMONT COMMUNITY COLLEGE,CONSTRUCTION OF 1-DIGITAL ARTS BUILDING AND SCULPTURE BUILDING,22,2010,2005,2004,,1967,5.3854675,0,1,0,0,0,1,0,0,0,0,0,11153268,16238171,706816,,16944988,16.944988,26007,651.55487,0,651.55487,0,0,0,651.55487,0,0,0
GROSSMONT COLLEGE,ALTERATION TO 3 - ENCLOSURE/S[UTILITY] (CENTRAL PLANT BLDG 200 500) ADDITIONS TO 1 - ENCLOSURE/S[UTILITY](CENTRAL PLANT),22,2013,2005,2004,,2989,8.1836109,0,0,0,1,0,0,0,0,0,1,0,735380.31,2449707.8,121003.45,,2570711.3,2.5707111,26007,98.846893,0,0,98.846893,0,0,0,0,98.846893,0
GROSSMONT-CUYAMACA COLLEGE,CONSTRUCTION OF 1 - SEGMENTAL RETAINING WALL AND SITE WORK,22,2009,2005,2005,,1622,4.4408889,0,1,0,0,0,0,0,0,0,1,0,927001,927002.25,,,927002.25,0.92700225,26007,35.644337,0,0,35.644337,0,0,35.644337,0,0,0
GROSSMONT/CUYAMACA COLLEGE,ALTERATION TO CENTRAL PLANT AT CUYAMACA COL. AND GROSSMONT COL.(MECHNICAL UPGRADE),22,2013,2005,2004,,3073,8.4135952,1,0,0,0,0,0,0,0,0,1,0,2352015.8,3094757.5,133062.5,,3227820,3.2278199,26007,124.11351,0,0,124.11351,0,124.11351,0,0,0,0
GROSSMONT COLLEGE /  200 DANCE,ALTERATION TO 1 - C.R. BLDG/S (FINE ARTS BLDG 200W A#04-100176). PARKING LOT IMPROVEMENTS,22,2010,2006,2006,,1567,4.2903037,1,0,0,0,0,1,0,0,0,1,0,661769,683388.69,61565.324,,744954,0.74495399,24660,30.209002,0,30.209002,30.209002,0,30.209002,0,0,0,0
GROSSMONT COMMUNITY COLLEGE,ALTERATION TO 2 - M.P. BLDG (BLDG'S 400A AND 400B),22,2010,2007,2006,,1217,3.3320355,1,0,0,0,0,0,0,0,0,0,0,5533754.5,6587473.5,1232873.3,,7820347,7.8203468,25264,309.54507,0,0,0,0,309.54507,0,0,0,0
GROSSMONT COMMUNITY COLLEGE,CONSTRUCTION OF 1-2-STORY 3 LEVEL PRKG STRUCT. 1-PUBLIC SERVICE BLDG,22,2011,2008,2007,,1089,2.9815831,0,1,0,0,0,0,0,0,0,0,0,19152604,16063495,475467.91,,16538963,16.538963,27075,610.85736,0,0,0,0,0,610.85736,0,0,0
GROSSMONT CUYAMACA COMMUNITY COLLEGE,CONSTRUCTION OF 1-HEALTH/SCIENCE BUILDING (NORTH) 1-HEALTH/SCIENCE BUILDING (SOUTH) 1-PEDESTRIAN BRIDGE 1-TRASH ENCLOSURE 1-SITE WORK,22,2015,2008,2007,,2459,6.7325187,0,1,0,0,0,1,1,0,1,1,0,27147088,24738148,802679.81,25540828,25540828,25.540829,27075,943.33624,943.33624,943.33624,943.33624,0,0,943.33624,0,0,0
GROSSMONT COLLEGE / AT&T MOBILITY,CONSTRUCTION OF 1-CELLULAR POLE/TOWER & EQUIPMENT SHELTER,22,2012,2009,2009,,1077,2.9487283,0,1,0,0,0,0,0,0,0,1,0,165853.78,165853.78,,,165853.78,0.16585378,28568,5.8055792,0,0,5.8055792,0,0,5.8055792,0,0,0
GROSSMONT COLLEGE - CULINARY ARTS TRAILER,ALTERATIONS TO 1-36X40 RELO. (A04-105298 PC04-101244)-CULINARY ARTS; RELOCATION OF 1-36X40 RELO. (A04-105298 PC04-101244),22,2012,2010,2009,,735,2.0123632,0,0,0,0,1,1,1,0,0,0,0,67022.539,199807.16,19570.582,,219377.73,0.21937774,31451,6.9752231,6.9752231,6.9752231,0,0,0,0,0,0,6.9752231
GROSSMONT COMMUNITY COLLEGE,ADDITIONS TO 2-STUDENT CENTER BLD'G 600 (A# 69736) AND STUDENT SERVICES MULTI-PURPOSE BLD'G 100 (A#23598); ALTERATIONS TO 2-STUDENT CENTER BLD'G 600 (A# 69736) AND STUDENT SERVICES MULTI-PURPOSE BLD'G 100 (A#23598) 1-STUDENT CENTER BLD'G 600 (INCORPORATE VOIDED A04-108558 WORK INTO PROJECT),22,2014,2010,2009,,1443,3.950803,0,0,0,1,0,0,0,1,0,0,0,26042050,24782114,4758223,29540336,29540336,29.540337,31451,939.24951,0,0,0,0,0,0,0,939.24951,0
GROSSMONT COLLEGE,RELOCATION OF 2-KITCHEN BLDG(RELO STOCKPILE 04-10894304-105298),22,2012,2010,2010,,791,2.1656861,0,0,0,0,1,0,0,0,0,0,0,89665.555,219864.25,2083.9138,,221948.16,0.22194816,31451,7.0569506,0,0,0,0,0,0,0,0,7.0569506
GROSSMONT COLLEGE,ALTERATIONS TO 3-CLASSROOM BUILDINGS (RELOCATABLE) 24'X60' STOCKPILE 04-108810; CONSTRUCTION OF 1-RAMP  (TMP PC 04-109224); RELOCATION OF 3-CLASSROOM BUILDING  (RELOCATABLE) 24'X60' STOCKPILE 04-108810,22,2014,2010,2010,,1488,4.0740089,0,0,0,0,1,1,0,0,0,1,0,70247.469,698124.75,25289.25,723414,723414,0.723414,31451,23.001303,0,23.001303,23.001303,0,0,0,0,0,23.001303
GROSSMONT COLLEGE,CONSTRUCTION OF 2-SHADE STRUCTURE,22,2011,2011,2010,,279,0.76387668,0,1,0,0,0,0,0,0,0,1,0,26642.158,45398.238,3623.3335,,49021.57,0.049021572,28287,1.7330071,0,0,1.7330071,0,0,1.7330071,0,0,0
