District,College,District Code,College Code
ALLAN HANCOCK CCD,ALLAN HANCOCK,610,611
ANTELOPE CCD ,ANTELOPE VALLEY,620,621
BARSTOW CCD ,BARSTOW,910,911
BUTTE CCD,BUTTE,110,111
CABRILLO CCD,CABRILLO,410,411
CERRITOS CCD,CERRITOS,410,411
CHABOT-LAS POSITAS CCD,CHABOT HAWARD,480,482
CHABOT-LAS POSITAS CCD,LAS POSITAS ,480,481
CHAFFEY CCD,CHAFFEY,920,921
CITRUS CCD,CITRUS,820,821
COAST CCD,COASTLINE,830,831
COAST CCD,GOLDEN WEST,830,832
COAST CCD,ORANGE COAST,830,833
COMPTON CCD ,COMPTON,710,711
CONTRA COSTA CCD,CONTRA COSTA,310,311
CONTRA COSTA CCD,DIABLO VALLEY,310,312
CONTRA COSTA CCD,,310,313
COPPER MOUNTAIN,COPPER MOUNTAIN,970,971
DESERT CCD,DESERT,930,931
EL CAMINO CCD,EL CAMINO,720,721
FEATHER RIVER CCD,FEATHER RIVER,120,121
FOOTHILL CCD,DEANZA,420,421
FOOTHILL CCD,FOOTHILL,420,422
GAVILAN CCD,GAVILAN,440,441
GLENDALE CCD,GLENDALE,730,731
GROSSMONT CCD,CUYAMACA,20,21
GROSSMONT CCD,GROSSMONT,20,22
HARTNELL CCD,HARTNELL,450,451
IMPERIAL CCD,IMPERIAL ,30,31
KERN CCD,BAKERSFIELD,520,521
KERN CCD,CERRO COSO,520,522
KERN CCD,PORTERVILLE,520,523
LAKE TAHOE CCD,LAKE TAHOE,220,221
LASSEN CCD,LASSEN,130,131
LONG BEACH CCD,LONG BEACH,840,841
LOS ANGELES CCD,EAST LA,740,748
LOS ANGELES CCD,LA CITY,740,741
LOS ANGELES CCD,LA HARBOR,740,742
LOS ANGELES CCD,LA ITV,740,74A
LOS ANGELES CCD,LA MISSION,740,743
LOS ANGELES CCD,LA PIERCE,740,744
LOS ANGELES CCD,LA SWEST,740,745
LOS ANGELES CCD,LA TRADE,740,746
LOS ANGELES CCD,LA VALLEY,740,747
LOS ANGELES CCD,WEST LA,740,749
LOS RIOS CCD,AMERICAN RIVER,230,231
LOS RIOS CCD,COSUMNES RIVER,230,232
LOS RIOS CCD,FOLSOM LAKE,230,234
LOS RIOS CCD,SACRAMENTO CITY,230,233
MARIN CCD,MARIN,330,334
MARIN CCD,MARIN CONTINUING,330,335
MENDOCINO CCD,MENDOCINO,140,141
MERCED CCD,MERCED,530,531
MIRA COSTA CCD,MIRA COSTA,50,51
MONTEREY CCD,MONTEREY,460,461
